,TL BASED,USD BASED,imkb_x
date,BSE100,BSE200,BSE500
08-Dec-15,8.968075161,8.094445598,9.240531013
09-Dec-15,8.955106128,8.081122473,9.226492226
10-Dec-15,8.963855264,8.089856637,9.2355587
11-Dec-15,8.954404998,8.08020336,9.226332809
14-Dec-15,8.959898848,8.085221877,9.231361864
15-Dec-15,8.965948924,8.091088546,9.237458334
16-Dec-15,8.972783445,8.097359346,9.243148259
17-Dec-15,8.985182293,8.110256,9.256218682
18-Dec-15,8.976569298,8.102774116,9.24923507
21-Dec-15,8.98451949,8.110379174,9.256908068
22-Dec-15,8.979405295,8.105621476,9.252586312
23-Dec-15,8.988683215,8.11405238,9.26067791
24-Dec-15,8.988837973,8.114752505,9.261725262
28-Dec-15,8.995147629,8.12062142,9.267384946
29-Dec-15,8.997097645,8.122442479,9.268893202
30-Dec-15,8.993486996,8.119434314,9.266334052
31-Dec-15,8.999319296,8.124894031,9.271832382
01-Jan-16,9.002478213,8.128835906,9.276173055
04-Jan-16,8.982731868,8.110424234,9.258323544
05-Jan-16,8.983059524,8.111412033,9.259739874
06-Jan-16,8.977212139,8.106040942,9.254541929
07-Jan-16,8.952482439,8.081379179,9.229717419
08-Jan-16,8.958245496,8.087806224,9.236684303
11-Jan-16,8.953054292,8.082426968,9.231149355
12-Jan-16,8.945710543,8.07498837,9.223602046
13-Jan-16,8.950173591,8.078058574,9.224447398
14-Jan-16,8.945707937,8.072726306,9.218581322
15-Jan-16,8.929935754,8.055535438,9.200096078
18-Jan-16,8.916379965,8.039702403,9.181745405
19-Jan-16,8.92777187,8.05165,9.194081917
20-Jan-16,8.909918829,8.034080006,9.176147399
21-Jan-16,8.905280171,8.030240332,9.173139937
22-Jan-16,8.924748114,8.049810125,9.192800443
25-Jan-16,8.92617079,8.052003556,9.195698704
27-Jan-16,8.926899958,8.052910765,9.197001808
28-Jan-16,8.925390563,8.05154805,9.195737264
29-Jan-16,8.942683124,8.068127231,9.211742389
01-Feb-16,8.942442626,8.068412357,9.212408232
02-Feb-16,8.928669529,8.054919608,9.198832409
03-Feb-16,8.914850565,8.041200463,9.184168866
04-Feb-16,8.919923898,8.045302984,9.187196609
05-Feb-16,8.933293544,8.058925229,9.200717218
08-Feb-16,8.921381485,8.048497506,9.191199346
09-Feb-16,8.907784227,8.034750922,9.177706637
10-Feb-16,8.895902193,8.023178797,9.16580106
11-Feb-16,8.861728548,7.988495476,9.130099478
12-Feb-16,8.862540216,7.988152679,9.128606318
15-Feb-16,8.889130471,8.015109248,9.156197759
16-Feb-16,8.872013216,7.997010594,9.137955683
17-Feb-16,8.879697909,8.004378925,9.144735683
18-Feb-16,8.890362355,8.014765539,9.154580274
19-Feb-16,8.893153962,8.016954659,9.156573494
22-Feb-16,8.897358269,8.021344846,9.160915857
23-Feb-16,8.880916438,8.005483844,9.145371892
24-Feb-16,8.867944425,7.993278951,9.133247642
25-Feb-16,8.860919057,7.98563751,9.125650299
26-Feb-16,8.868821422,7.992295688,9.131249544
29-Feb-16,8.864384911,7.988481902,9.127612897
01-Mar-16,8.896956144,8.019704895,9.159037604
02-Mar-16,8.916440341,8.039238032,9.178435791
03-Mar-16,8.930087964,8.052165959,9.191317581
04-Mar-16,8.933475581,8.055992304,9.195330282
08-Mar-16,8.933635166,8.056255542,9.195846846
09-Mar-16,8.939786766,8.061616196,9.200973641
10-Mar-16,8.933611428,8.055789278,9.195660143
11-Mar-16,8.936486251,8.058387431,9.197873989
14-Mar-16,8.939879821,8.061773892,9.201406584
15-Mar-16,8.930777251,8.05285031,9.192818761
16-Mar-16,8.933966124,8.055173605,9.194934306
17-Mar-16,8.935940368,8.057570691,9.197053491
18-Mar-16,8.947193501,8.068719325,9.207655772
21-Mar-16,8.960620529,8.082185981,9.221097308
22-Mar-16,8.962791417,8.084368192,9.223378011
23-Mar-16,8.962884917,8.084901445,9.224061801
28-Mar-16,8.949266475,8.071259151,9.210219365
29-Mar-16,8.947304082,8.069038721,9.208316325
30-Mar-16,8.964838731,8.08667178,9.226019805
31-Mar-16,8.966413588,8.089289204,9.228683111
01-Apr-16,8.964235209,8.087772424,9.228144926
04-Apr-16,8.969380295,8.092734848,9.233335936
05-Apr-16,8.949324897,8.073502715,9.214827291
06-Apr-16,8.951288515,8.076207636,9.217877893
07-Apr-16,8.943217503,8.068600308,9.210604337
08-Apr-16,8.944824145,8.070634177,9.213184324
11-Apr-16,8.95880892,8.083819229,9.225761847
12-Apr-16,8.964460294,8.089706376,9.232102842
13-Apr-16,8.981729402,8.106125418,9.247899128
18-Apr-16,8.989627614,8.114602947,9.256641727
20-Apr-16,8.990468961,8.115867504,9.2583712
21-Apr-16,8.990431583,8.114671746,9.256849842
22-Apr-16,8.989949279,8.114079317,9.256150863
25-Apr-16,8.984714993,8.108620259,9.25093322
