Date,Open,High,Low,Close
04/13/23, 15708.21, 15754.99, 15675.15, 15729.46
04/12/23, 15689.14, 15827.28, 15668.20, 15703.60
04/11/23, 15710.45, 15726.02, 15625.79, 15655.17
04/06/23, 15530.20, 15601.49, 15509.09, 15597.89
04/05/23, 15611.68, 15627.29, 15482.88, 15520.17
04/04/23, 15639.02, 15736.56, 15601.40, 15603.47
04/03/23, 15623.45, 15659.35, 15553.90, 15580.92
03/31/23, 15568.37, 15659.06, 15499.84, 15628.84
03/30/23, 15429.38, 15536.42, 15424.69, 15522.40
03/29/23, 15242.52, 15342.27, 15186.75, 15328.78
03/28/23, 15255.93, 15261.49, 15103.76, 15142.02
03/27/23, 15133.68, 15185.35, 15020.07, 15127.68
03/24/23, 15135.50, 15135.65, 14809.82, 14957.23
03/23/23, 15178.25, 15244.32, 15078.72, 15210.39
03/22/23, 15174.67, 15298.49, 15166.95, 15216.19
03/21/23, 15062.06, 15253.10, 15055.93, 15195.34
03/20/23, 14715.40, 14980.43, 14458.39, 14933.38
03/17/23, 15073.76, 15153.11, 14694.26, 14768.20
03/16/23, 14973.84, 15018.31, 14664.17, 14967.10
03/15/23, 15175.44, 15246.17, 14702.91, 14735.26
03/14/23, 15016.53, 15272.11, 14951.71, 15232.83
03/13/23, 15435.16, 15435.81, 14887.44, 14959.47
03/10/23, 15369.67, 15495.87, 15316.38, 15427.97
03/09/23, 15619.75, 15667.05, 15535.13, 15633.21
03/08/23, 15528.81, 15667.21, 15524.85, 15631.87
03/07/23, 15638.44, 15706.37, 15544.07, 15559.53
03/06/23, 15597.90, 15677.93, 15587.78, 15653.58
03/03/23, 15430.66, 15590.44, 15409.99, 15578.39
03/02/23, 15171.07, 15329.29, 15150.67, 15327.64
03/01/23, 15399.91, 15478.84, 15254.11, 15305.02
02/28/23, 15299.79, 15443.17, 15289.43, 15365.14
02/27/23, 15351.63, 15481.06, 15351.63, 15381.43
02/24/23, 15501.82, 15530.46, 15162.48, 15209.74
02/23/23, 15453.29, 15552.77, 15433.97, 15475.69
02/22/23, 15342.60, 15408.58, 15247.50, 15399.89
02/21/23, 15450.62, 15470.52, 15286.71, 15397.62
02/20/23, 15524.16, 15532.44, 15436.79, 15477.55
02/17/23, 15372.06, 15514.72, 15300.42, 15482.00
02/16/23, 15612.43, 15634.04, 15417.17, 15533.64
02/15/23, 15394.44, 15520.39, 15388.85, 15506.34
02/14/23, 15419.00, 15526.28, 15366.37, 15380.56
02/13/23, 15322.06, 15409.27, 15305.94, 15397.34
02/10/23, 15438.94, 15487.98, 15246.39, 15307.98
02/09/23, 15560.15, 15658.56, 15519.63, 15523.42
02/08/23, 15450.67, 15486.13, 15371.93, 15412.05
02/07/23, 15359.59, 15363.41, 15273.60, 15320.88
02/06/23, 15367.04, 15406.93, 15275.57, 15345.91
02/03/23, 15408.40, 15476.67, 15347.86, 15476.43
02/02/23, 15275.00, 15520.97, 15264.31, 15509.19
02/01/23, 15125.12, 15222.34, 15107.83, 15180.74
01/31/23, 15081.17, 15136.22, 14993.59, 15128.27
01/30/23, 15070.30, 15161.07, 14988.98, 15126.08
01/27/23, 15115.75, 15186.49, 15077.62, 15150.03
01/26/23, 15146.29, 15151.54, 15068.72, 15132.85
01/25/23, 15095.72, 15114.41, 14969.65, 15081.64
01/24/23, 15140.50, 15147.45, 15022.55, 15093.11
01/23/23, 15077.40, 15145.90, 15022.83, 15102.95
01/20/23, 14986.52, 15034.43, 14940.68, 15033.56
01/19/23, 15115.55, 15134.07, 14906.27, 14920.36
01/18/23, 15182.95, 15250.36, 15156.89, 15181.80
01/17/23, 15130.03, 15269.71, 15083.95, 15187.07
01/16/23, 15112.05, 15153.19, 15083.94, 15134.04
01/13/23, 15063.21, 15132.37, 15041.16, 15086.52
01/12/23, 14972.28, 15095.03, 14934.51, 15058.30
01/11/23, 14805.40, 14965.47, 14794.99, 14947.91
01/10/23, 14741.97, 14790.82, 14692.74, 14774.60
01/09/23, 14650.73, 14832.89, 14628.61, 14792.83
01/06/23, 14476.72, 14610.23, 14388.98, 14610.02
01/05/23, 14451.23, 14501.60, 14403.73, 14436.31
01/04/23, 14266.98, 14492.78, 14264.60, 14490.78
01/03/23, 14116.07, 14293.87, 14083.76, 14181.67
01/02/23, 13992.71, 14095.91, 13976.44, 14069.26
12/30/22, 14005.84, 14008.97, 13922.55, 13923.59
12/29/22, 13890.81, 14071.72, 13871.32, 14071.72
12/28/22, 14013.72, 14018.47, 13914.62, 13925.60
12/27/22, 14047.42, 14063.14, 13966.35, 13995.10
12/23/22, 13945.59, 14000.68, 13874.50, 13940.93
12/22/22, 14113.01, 14160.87, 13890.54, 13914.07
12/21/22, 13944.69, 14099.75, 13912.17, 14097.82
12/20/22, 13829.90, 13931.29, 13791.52, 13884.66
12/19/22, 13934.75, 14001.37, 13927.05, 13942.87
12/16/22, 13978.44, 14011.26, 13815.24, 13893.07
12/15/22, 14351.31, 14363.12, 13982.59, 13986.23
12/14/22, 14453.54, 14470.74, 14375.95, 14460.20
12/13/22, 14345.88, 14675.84, 14302.49, 14497.89
12/12/22, 14300.43, 14366.39, 14262.60, 14306.63
12/09/22, 14325.80, 14385.57, 14217.96, 14370.72
12/08/22, 14277.75, 14298.81, 14196.77, 14264.56
